"run","baseline_total_loss","cull_total_loss","direct_cull_loss","net_loss_avoided","baseline_farms_affected","cull_farms_affected","baseline_farms_lost","cull_farms_lost","farms_culled"
398,113673.834011589,2755.32748598693,2755.32748598693,110918.506525602,113,3,113,3,3
399,136561.622378543,24887.501952404,21581.4846445232,111674.120426139,136,25,136,25,22
400,139545.676689967,94818.1994873596,75856.3043948124,44727.4772026076,139,94,139,94,75
401,136561.622378543,3080.41526048761,3080.41526048761,133481.207118056,136,3,136,3,3
402,113673.834011589,3105.63351612649,3105.63351612649,110568.200495462,113,3,113,3,3
403,139545.676689967,2621.85951893091,2621.85951893091,136923.817171036,139,3,139,3,3
404,139545.676689967,3342.33971865548,3342.33971865548,136203.336971312,139,3,139,3,3
405,136561.622378543,18863.0863392833,15740.4749668043,117698.53603926,136,19,136,19,16
406,113673.834011589,94312.1419664259,76518.100906138,19361.6920451629,113,93,113,93,76
407,113673.834011589,3158.69555043127,3158.69555043127,110515.138461158,113,3,113,3,3
408,123974.954778717,3364.6700129789,3364.6700129789,120610.284765738,124,3,124,3,3
409,139545.676689967,3451.33823717656,3451.33823717656,136094.338452791,139,3,139,3,3
410,136561.622378543,2815.89774795026,2815.89774795026,133745.724630593,136,3,136,3,3
411,146862.743145672,95012.1787960586,70495.2115527263,51850.5643496132,147,94,147,94,70
412,123974.954778717,98393.4264191625,72396.9306559242,25581.5283595548,124,97,124,97,71
413,113673.834011589,105690.624776338,84325.5635792499,7983.20923525035,113,105,113,105,84
414,113673.834011589,96012.4073222432,77139.0978005747,17661.4266893457,113,95,113,95,77
415,139545.676689967,25744.532810581,18894.8209822974,113801.143879386,139,26,139,26,19
416,123974.954778717,2990.11248576264,2990.11248576264,120984.842292955,124,3,124,3,3
417,113673.834011589,3081.55150836652,3081.55150836652,110592.282503222,113,3,113,3,3
418,149846.797457096,3044.00580146671,3044.00580146671,146802.791655629,150,3,150,3,3
419,136561.622378543,25028.0264899559,18152.3140363408,111533.595888587,136,25,136,25,18
420,136561.622378543,103047.409006492,80827.2138047866,33514.2133720509,136,102,136,102,81
421,113673.834011589,2912.35532874734,2912.35532874734,110761.478682841,113,3,113,3,3
422,30190.0785443513,2908.35684806227,2908.35684806227,27281.721696289,31,3,31,3,3
423,139545.676689967,25216.7771636671,18780.0557967479,114328.8995263,139,25,139,25,19
424,113673.834011589,90149.1727715228,70756.3355707447,23524.661240066,113,89,113,89,70
425,139545.676689967,3361.66554477316,3361.66554477316,136184.011145194,139,3,139,3,3
426,113673.834011589,2814.68052818635,2814.68052818635,110859.153483402,113,3,113,3,3
427,139545.676689967,2802.59162514619,2802.59162514619,136743.085064821,139,3,139,3,3
428,146862.743145672,104269.778345574,82154.4927405563,42592.9648000981,147,103,147,103,81
429,136561.622378543,103884.441546385,80532.0028672222,32677.1808321579,136,103,136,103,80
430,149846.797457096,134824.859317057,106666.494530738,15021.9381400383,150,134,150,134,106
431,113673.834011589,3180.53752201419,3180.53752201419,110493.296489575,113,3,113,3,3
432,113673.834011589,2831.45972160524,2831.45972160524,110842.374289984,113,3,113,3,3
433,113673.834011589,3072.94860676161,3072.94860676161,110600.885404827,113,3,113,3,3
434,139545.676689967,126109.125870365,101403.366432944,13436.5508196024,139,125,139,125,101
435,149846.797457096,2937.90023679488,2937.90023679488,146908.897220301,150,3,150,3,3
436,113673.834011589,3291.08691507476,3291.08691507476,110382.747096514,113,3,113,3,3
437,139545.676689967,2776.90107496375,2776.90107496375,136768.775615003,139,3,139,3,3
438,123974.954778717,98636.2054249652,77492.7282399584,25338.7493537521,124,98,124,98,77
439,139545.676689967,3055.29997864015,3055.29997864015,136490.376711327,139,3,139,3,3
440,149846.797457096,20945.7401581324,17985.3036210401,128901.057298963,150,21,150,21,18
441,136561.622378543,24796.6694599777,21562.3285408472,111764.952918566,136,25,136,25,22
442,146862.743145672,8476.03318086744,6883.77691922831,138386.709964804,147,9,147,9,7
443,146862.743145672,3123.71274836394,3123.71274836394,143739.030397308,147,3,147,3,3
444,113673.834011589,3191.7479032268,3191.7479032268,110482.086108362,113,3,113,3,3
445,113673.834011589,94029.3725941407,74215.4250035765,19644.4614174481,113,93,113,93,74
446,113673.834011589,3235.96254219448,3235.96254219448,110437.871469394,113,3,113,3,3
447,113673.834011589,91910.7899845597,70943.2373079218,21763.0440270292,113,91,113,91,70
448,139545.676689967,2581.52894469158,2581.52894469158,136964.147745276,139,3,139,3,3
449,113673.834011589,94820.6177161798,69666.1059546881,18853.216295409,113,94,113,94,69
450,113673.834011589,3082.58943206069,3082.58943206069,110591.244579528,113,3,113,3,3
451,113673.834011589,15957.2232438416,14997.0578949746,97716.6107677473,113,16,113,16,15
452,33188.9091340829,3224.4614957008,3224.4614957008,29964.4476383821,34,3,34,3,3
453,113673.834011589,2996.65494055519,2996.65494055519,110677.179071034,113,3,113,3,3
454,36172.9634455068,2929.13200516642,2929.13200516642,33243.8314403404,37,3,37,3,3
